pid, gpu_uuid, used_gpu_memory [MiB]
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2494 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2840 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3080 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2544 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2088 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3094 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2886 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2694 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2926 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3232 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2870 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2636 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2812 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1922 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1934 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1574 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2770 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1528 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2966 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1948 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1948 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3232 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2586 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2274 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1516 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1516 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3036 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1934 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1798 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2168 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1804 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2802 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3000 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2724 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2414 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2246 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2882 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2652 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2246 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1906 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2600 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3002 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2110 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3244 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
145496, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 16732 MiB
